Title,Location,Salary,company,Snippet,Source,Type,Link,Updated,ID
Python Engineer,"Irving, TX",,Hays,"&nbsp;...Job Description 

 <b>Python </b> Engineer/CTP/Irving,  TX/Competitive Rate 
 PYTHON ENGINEER- CONTRACT TO PERM-IRVING, TX 
 The end client is unable to sponsor or transfer visas for this position; all parties authorized to work in the US without sponsorship are encouraged...&nbsp;",ziprecruiter.com,,"https://us.jooble.org/away/6927226490915541916?p=1&pos=1&cid=253&ckey=Python&age=51&relb=155&brelb=100&scr=1311,152037&bscr=845,90454&aq=17943703",2018-11-15T00:00:00.0000000,6927226490915541916
Python Software Engineer,"Plano, TX",,Hunter Technical Resources,"&nbsp;...without a lot of direction
 Experience as a Software Developer for high-tech products or services
 Strong production experience with <b>Python</b>
 Experience automating processes in Python
 Strong troubleshooting ability is a plus
 Robotic Process Automation experience is a...&nbsp;",rev.appcast.io,,"https://us.jooble.org/desc/5211314422047497862?ckey=Python&rgn=45973&pos=2&elckey=-2616147889028839875&aq=17943703&age=147&relb=160&brelb=100&bscr=794,85834&scr=1271,773344",2018-11-11T00:00:00.0000000,5211314422047497862
Python Developer,"Addison, TX",,NewGig,&nbsp;...for a remote role with no micromanagement? If so then read on! In this role we are looking for an experienced Full Stack Developer (<b>Python)</b> to be part of our Agile and growing software development team in expanding our core payment processing platform and products...&nbsp;,ziprecruiter.com,,"https://us.jooble.org/away/-4378553485056703094?p=1&pos=3&cid=253&ckey=Python&age=99&relb=155&brelb=100&scr=1271,32767&bscr=820,2114&aq=17943703",2018-11-13T00:00:00.0000000,-4378553485056703094
Senior Software Engineer - Python,"Plano, TX",,Capital One,"&nbsp;...achieve their goals and realize their dreams. Together, we are on a quest to change banking for good. 

 Senior Software Engineer - <b>Python </b>

 Do you want to work for a tech company that writes its own code, develops its own software, and builds its own products? We...&nbsp;",rev.appcast.io,,"https://us.jooble.org/desc/4103961215873722192?ckey=Python&rgn=45973&pos=4&elckey=-2616147889028839875&aq=17943703&age=147&relb=160&brelb=100&bscr=766,6159&scr=1226,58544",2018-11-11T00:00:00.0000000,4103961215873722192
Python Django Developer,"Dallas, TX",,Calance US,"Calance Available JobsJob Openings | Calance IT StaffingJob Openings - CalanceCalanceCreating Customer Alliances 
Job Openings 
By Job Title 
By Date Created 
By State 
For Employers 
Contact Us 
Corporate 
All Our Services 
Blog 
Job Openings 
Job Openings ...",resume-library.com,Full-time,"https://us.jooble.org/desc/4466473921338332781?ckey=Python&rgn=45973&pos=5&elckey=-2616147889028839875&aq=17943703&age=435&relb=142&brelb=100&bscr=761,41565&scr=1081,210223",2018-10-30T00:00:00.0000000,4466473921338332781
Python Developer,"Lewisville, TX",,Tech-Pro Inc,"<b>Python </b>Developer 
Ref No.: 18-52624
Location: Lewisville, Texas 
Start Date / End Date: 08/24/2018 to 08/23/2019
Job Title: Python Developer 
Job ID: 18-52624
Location: Lewisville, TX 
Duration: 6 Months 
Job Vacancies: 1
Note: Only W2 (No Corp-to-Corp)
Roles...&nbsp;",resume-library.com,Full-time,"https://us.jooble.org/desc/-6005753283053930758?ckey=Python&rgn=45973&pos=6&elckey=-2616147889028839875&aq=17943703&age=651&relb=142&brelb=100&bscr=759,1879&scr=1078,046818",2018-10-21T00:00:00.0000000,-6005753283053930758
Python / Java / Javascript Developer,"Richardson, TX",,"Theatro Labs, Inc","&nbsp;...Job Description 
 Join one of the hottest startups in Dallas! Theatro Labs, Inc is in immediate need of a <b>Python </b>/ Java developer with the following skillsets 
 Responsibilities: 
 Design, develop, test and document scalable, highly reliable, enterprise global systems...&nbsp;",ziprecruiter.com,,"https://us.jooble.org/away/6694201425748675318?p=1&pos=7&cid=253&ckey=Python&age=699&relb=155&brelb=100&scr=1043,987775&bscr=673,5405&aq=17943703",2018-10-19T00:00:00.0000000,6694201425748675318
"IT Engineer (AWS, Python / Bash, Windows / Linux)","Addison, TX",,Workbridge Associates,"&nbsp;...this initial backlog is dealt with however, the role will develop into a Junior DevOps role! They want someone who can script with <b>Python </b>or Bash, and wants to ramp up on automation scripting and with AWS. They will be part of a team that’s going to design and implement...&nbsp;",rev.appcast.io,,"https://us.jooble.org/desc/5580516473381358208?ckey=Python&rgn=45973&pos=8&elckey=-2616147889028839875&aq=17943703&age=27&relb=160&brelb=100&bscr=619,4163&scr=991,06608",2018-11-16T00:00:00.0000000,5580516473381358208
Full Stack: Vue.js/Javascript/Python Developer,"Dallas, TX",,Service Fusion,"&nbsp;...and Algorithms  : Your code should be performance oriented and you need to be able to think that way 
 Very Nice to have Skills 
 <b>Python </b>
 Postgres 
 What you'll be doing 
 You'll be building a large complex very cool SPA, with a team of very talented developers...&nbsp;",ziprecruiter.com,,"https://us.jooble.org/away/5921007622507642763?p=1&pos=9&cid=253&ckey=Python&age=99&relb=155&brelb=100&scr=949,658495&bscr=612,6829&aq=17943703",2018-11-13T00:00:00.0000000,5921007622507642763
Software - JAVA / PHP / Python Developer - Relocation Package!,"Dallas, TX",,Advanced Reimbursement Solutions LLC," Job Description 
 Join our agile team tasked with designing, implementing and supporting software services for our next-generation software platform. In addition to developing new features and services, you will also help bring our codebase to a modern, testable, and ...",ziprecruiter.com,,"https://us.jooble.org/away/6458671500436978998?p=1&pos=10&cid=253&ckey=Python&age=339&relb=155&brelb=100&scr=918,596092&bscr=592,64264&aq=17943703",2018-11-03T00:00:00.0000000,6458671500436978998
Python Software Engineer,"Plano, TX",,OrangePeople,"&nbsp;...As our team builds and supports new applications at a rapid pace, we are looking for a exceptional, passionate and highly-motivated <b>Python </b>Software Engineer who will develop and participate in testing and documentation of large-scale, distributed software applications,...&nbsp;",OrangePeople,,"https://us.jooble.org/jdp/-4545849032395715914/Python-Software-Engineer-Plano%2C-TX?ckey=Python&rgn=45973&pos=11&elckey=-2616147889028839875&aq=17943703&age=85&relb=100&brelb=100&bscr=816,25146&scr=816,25146",2018-11-13T13:05:04.9978728+02:00,-4545849032395715914
Python Developer - Network,"Richardson, TX",,Verizon,"&nbsp;...You will develop software solutions that require ingenuity with an emphasis on continuous operational improvement and efficiency. <b>Python </b>developer responsibilities include writing and testing code, debugging, and integrating applications with existing platforms to propel...&nbsp;",verizon.com,Full-time,"https://us.jooble.org/desc/4638414638402497070?ckey=Python&rgn=45973&pos=12&elckey=-2616147889028839875&aq=17943703&age=51&relb=100&brelb=100&bscr=801,47565&scr=801,47565",2018-11-15T00:00:00.0000000,4638414638402497070
Django / Python Developer,"Dallas, TX",,Not Available,"&nbsp;...Description 
 Kforce has a client in search of a Django/<b>Python </b>Developer in Dallas, Texas (TX).Essential Functions:
 Under broad direction and supervision, develops, maintains, and enhances client systems as well as designs and develops new features 
 Develops, maintains...&nbsp;",kforce.com,Temporary,"https://us.jooble.org/desc/-8296024083993459803?ckey=Python&rgn=45973&pos=13&elckey=-2616147889028839875&aq=17943703&age=267&relb=100&brelb=100&bscr=799,60846&scr=799,60846",2018-11-06T00:00:00.0000000,-8296024083993459803
Python Test Engineer,"Plano, TX",,APCON,"&nbsp;...Career Opportunity 
 The <b>Python </b>Test Engineer will be responsible for the testing and validation of APCON’s industry leading suite of network monitoring solutions. 
 Responsibilities and Duties 
 Test high-performance TCP/IP networking protocols at layer 2 and layer...&nbsp;",jazzhr.com,,"https://us.jooble.org/desc/4302030370570445641?ckey=Python&rgn=45973&pos=14&elckey=-2616147889028839875&aq=17943703&age=51&relb=100&brelb=100&bscr=795,31165&scr=795,31165",2018-11-15T00:00:00.0000000,4302030370570445641
Python Developer,"Dallas, TX",,"Up2date Technology Solutions, LLC","&nbsp;...Role 
 Experience with <b>Python </b>
 Comfortable with the Linux command line environment 
 Experience developing a large Python based back-end processing application 
 Experience developing a distributed worker model leveraging worker status queues 
 Experience performing...&nbsp;",mightyrecruiter.com,Temporary,"https://us.jooble.org/desc/1421356456796771248?ckey=Python&rgn=45973&pos=15&elckey=-2616147889028839875&aq=17943703&age=387&relb=100&brelb=100&bscr=795,0604&scr=795,0604",2018-11-01T00:00:00.0000000,1421356456796771248
Python Software Engineer,"Plano, TX",,Prolim Global,"&nbsp;...PROLIM Global Corporation ( is currently seeking  <b>Python </b>Software Engineer  for location  Plano, TX  for one of our top client. 
 
 Job Description: 
 Experience as a Software Developer for high-tech products or services 
 Strong production experience with Python...&nbsp;",thstaging.ceipal.com,Full-time,"https://us.jooble.org/desc/5435519444931545179?ckey=Python&rgn=45973&pos=16&elckey=-2616147889028839875&aq=17943703&age=195&relb=100&brelb=100&bscr=779,8157&scr=779,8157",2018-11-09T00:00:00.0000000,5435519444931545179
Go and Python Developer,"Irving, TX",,NTT DATA Services,"&nbsp;..., we ensure a bright future for NTT DATA Services and for the people who work here.
 
NTT DATA Services currently seeks a Go and <b>Python </b>Developerto join our team in Irving, Texas (US-TX), United States (US).
 
 
 
3-4 Years of experience. Must demonstrate usage of...&nbsp;",NTT DATA Services,,"https://us.jooble.org/jdp/-4930014008731322020/Go-and-Python-Developer-Irving%2C-TX?ckey=Python&rgn=45973&pos=17&elckey=-2616147889028839875&aq=17943703&age=315&relb=100&brelb=100&bscr=768,8801&scr=768,8801",2018-11-04T00:00:00.0000000,-4930014008731322020
Python Developer,"Plano, TX",,Not Available,"&nbsp;...with general guidance from more seasoned consultants. Typically requires 5-7 years of experience. 
 Key Responsibilities 
 As a <b>Python </b>Developer, you will be a part of a team of developers delivering in an Agile environment.  You will be expected to work directly with...&nbsp;",bankofamerica.com,Full-time,"https://us.jooble.org/desc/3165084094505391727?ckey=Python&rgn=45973&pos=18&elckey=-2616147889028839875&aq=17943703&age=603&relb=100&brelb=100&bscr=762,4644&scr=762,4644",2018-10-23T00:00:00.0000000,3165084094505391727
Python Developer with polygraph,"Arlington, TX",,Deloitte,"&nbsp;...of relevant consulting or industry experience 
~ Experience working independently with minimal guidance 
~ Experience with: SQL; <b>Python;</b> R; VBA, Hadoop 
~ Strong problem solving and troubleshooting skills with experience exercising mature judgment 
~ Proven experience...&nbsp;",deloitte.com,,"https://us.jooble.org/desc/8693754944148233646?ckey=Python&rgn=45973&pos=19&elckey=-2616147889028839875&aq=17943703&age=310&relb=100&brelb=100&bscr=734,5044&scr=734,5044",2018-11-04T04:37:33.0548839+02:00,8693754944148233646
Software Developer (Python/Django),"Dallas, TX",,CyberCoders,"&nbsp;...If you are a Software  Developer (<b>Python/</b>Django) with experience, please read on!
 Title: Software  Developer (Python/Django) 
 Location: Dallas, TX 
 Salary: Negotiable | Depending on experience  Based in Dallas, TX, we are a world-renowned Basketball company....&nbsp;",Cybercoders.com,,"https://us.jooble.org/desc/4644700557075286482?ckey=Python&rgn=45973&pos=20&elckey=-2616147889028839875&aq=17943703&age=363&relb=100&brelb=100&bscr=728,48694&scr=728,48694",2018-11-02T00:00:00.0000000,4644700557075286482
